Name,Postcode,Latitude,Longitude,Type,Telephone number,Website
Bibis Italianissimo,LS1 4AG,53.794278,-1.5434707,Restaurant - Italian,0113 243 0905,http://www.bibisrestaurant.com
Salvo's,LS6 3PX,53.824246,-1.5810477,Restaurant - Italian,0113 275 5017 ,http://www.salvos.co.uk/salumeria-restaurant
Casa Mia Coffee Shop,LS7 3QY,53.829072,-1.5393399,Restaurant - Italian,0113 266 1269,http://www.casamiaonline.com/
Jamie's Italian,LS1 5JL,53.797546,-1.5473521,Restaurant - Italian,0113 322 5400,http://www.jamiesitalian.co.uk/leeds
Carluccio's,LS1 5SX,53.796736,-1.54378,Restaurant - Italian,0113 242 2038,www.carluccios.com
Frankie & Benny's - Crown Point,LS10 1ET,53.788766,-1.5405251,Restaurant - Italian,01132 454882,http://www.frankieandbennys.com
Frankie & Benny's - Kirkstall Road,LS4 2DG,53.804363,-1.5833412,Restaurant - Italian,0113 203 8888,www.frankieandbennys.com
Yo! Sushi,LS1 5AY,53.796571,-1.5438708,Restaurant - Japanese,0113 2133621,http://www.yosushi.com/
Wagamama Restaurant,LS1 5AY,53.796571,-1.5438708,Restaurant - Japanese,0113 246 9736,http://www.wagamama.com/
Wasabi,LS1 5AT,53.796806,-1.5443237,Restaurant - Japanese,0113 234 0438,http://www.wasabi.uk.com
Fuji Hiro,LS2 8NJ,53.801584,-1.5432547,Restaurant - Japanese,0113 2439184,
Cielo Blanco,LS1 5AT,53.796806,-1.5443237,Restaurant - Mexican,0113 2469709,http://www.cieloblanco.co.uk
Barburrito,LS1 6HW ,53.796005,-1.5440288,Restaurant - Mexican,0113 246 1286,http://www.barburrito.co.uk/
Tortilla,LS1 5AT,53.796806,-1.5443237,Restaurant - Mexican,0113 2346518,http://trinityleeds.com/shops/tortilla
The Light,LS1 8TL,53.800047,-1.5456399,Tea/Coffee Shop,0113 245 4976,http://www.barburrito.co.uk/
Chino Latino ,LS1 5NS,53.796222,-1.5466224,Restaurant - Pan Asian,0113 380 4080,http://www.chinolatino.co.uk
PizzaLuxe,LS1 5AT,53.796806,-1.5443237,Restaurant - Pizza,0113 2471171,http://trinityleeds.com/shops/pizzaluxe
The Light,LS1 8TL,53.800047,-1.5456399,Restaurant - Portuguese,0113 242 8908,http://www.thelightleeds.co.uk/store/nandos/
The Duncan,LS1 6DL,53.795836,-1.5419508,Restaurant - Pub,0113 2459916,
Jake's Bar,LS1 7BT,53.795256,-1.5408793,Restaurant - Pub,0113 243 1110,http://www.jakesbar.co.uk
The Garden Gate,LS10 2QB,53.78076,-1.5273489,Restaurant - Pub,0113 2777705,http://www.gardengateleeds.co.uk/
Further North,LS7 4NZ,53.830749,-1.538182,Restaurant - Pub,0113 2370962,http://northbar.com/further-north/
Alfred,LS6 4HY,53.828371,-1.5658288,Restaurant - Pub,0113 2780779,http://northbar.com/alfred/
The Hop,LS1 4BR,53.793741,-1.5489566,Restaurant - Pub,0113 243 9854,http://www.thehop-leeds.co.uk/
Angelica,LS1 6HW,53.796005,-1.5440288,Restaurant - Pub,0113 897 0099,http://www.angelica-restaurant.com/
The Fleece,LS21 3DT,53.904303,-1.6985861,Restaurant - Pub,01943 465 034,http://www.fleece-otley.co.uk
Baracoa Luxe Bar,LS1 6DT,53.795375,-1.5413182,Restaurant - Pub,0113 245 2324,http://www.baracoaluxebar.com/
Crowd of Favours,LS2 7EA,53.79617,-1.5376812,Restaurant - Pub,0113 246 9405,http://www.crowdoffavours.co.uk
The Grove Inn,LS11 5PL,53.790924,-1.5478787,Restaurant - Pub,0113 244 1440   ,
The Original Oak,LS6 2DG,53.819634,-1.5757317,Restaurant - Pub,0113 275 1322,http://www.theoriginaloakleeds.co.uk
The Mustard Pot,LS7 3QY,53.829072,-1.5393399,Restaurant - Pub,0113 269 56 99,http://www.themustardpot.com
Shears Yard,LS2 7EH,53.795086,-1.5387862,Restaurant - Pub,0113 244 4144,http://www.shearsyard.com
The Atlas Pub,LS1 2HL,53.797331,-1.549829,Restaurant - Pub,0113 244 29 06,http://www.atlaspubleeds.com
The Black Prince,LS1 5DA,53.795581,-1.5458703,Restaurant - Pub,01132 458 063,http://www.sizzlingpubs.co.uk/theblackprinceleeds/
Tiger Tiger,LS2 8DY,53.800047,-1.5456399,Restaurant,0113 2366999,http://www.tigertiger.co.uk/leeds/
Midnight Bell,LS11 5QN,53.791692,-1.5513618,Bar,0113 2445044,http://www.midnightbell.co.uk
Weetwood Hall,LS16 5PS,53.837854,-1.5914582,Restaurant - Pub,0113 230 6000,http://www.weetwood.co.uk/dining/stables-pub/
Around the World in 80 Beers,LS1 5RD,53.799291,-1.5476825,Restaurant - Pub,0845 533 3000,http://www.atw80.com
Loch Fyne,LS1 2ES,53.796944,-1.5473737,Restaurant - Seafood,0113 391 7550,
Azucar Bar,LS10 1NE,53.793923,-1.5377363,Restaurant - South American,0113 2435761,
Las Iguanas,LS1 2HD,53.795488,-1.5404517,Restaurant - South American,0113 243 9533,http://www.iguanas.co.uk
Pintura,LS1 5ER,53.796319,-1.5461052,Restaurant - Spanish,0113 430 0915,http://www.pinturakitchen.co.uk/
La Rambla –Tapas & Wine,LS1 2AJ,53.798561,-1.5496185,Restaurant - Spanish,0113 2434941,http://www.laramblatapas.co.uk
Thai Sabai,LS6 3HP,53.820083,-1.5807398,Restaurant - Thai,0113 275 8613,http://www.thaisabaileeds.co.uk/index.htm
Lemongrass,LS1 6NU,53.799851,-1.5412239,Restaurant - Thai,0113 318 4306,
Bang Wok,LS1 4SP,53.794243,-1.5461125,Restaurant - Thai,,http://www.bangwok.com
Chaophraya,LS1 4AG,53.794278,-1.5434707,Restaurant - Thai,0113 244 9339,http://chaophraya.co.uk/
Sukhothai - Chapel Allerton,LS7 4PE,53.829982,-1.537446,Restaurant - Thai,01132 370141,
Sukhothai - Headingley,LS6 3NX,53.822981,-1.5818806,Restaurant - Thai,0113 278 1234,http://www.sukhothai.co.uk/headingley.php
Sukhothai - South Parade,LS1 5QS,53.798853,-1.54834,Restaurant - Thai,0113 242 2795,http://www.sukhothai.co.uk
Little Tokyo,LS1 6DE,53.79648,-1.5410936,Restaurant - Thai,0113 2439090  ,
Global Tribe Cafe,LS1 6LG,53.79895,-1.5431467,Restaurant - Vegetarian,0113 318 4289,http://globaltribecafe.com/
Cheerful Chilli,LS21 3DD,53.893396,-1.671196,Restaurant - Vegetarian,01943 466567,
Mango Vegetarian,LS22 6NQ,53.928883,-1.3865569,Restaurant - Vegetarian,01937 585 755,http://www.mangovegetarian.com
Vanilla One,LS1 7BR,53.795991,-1.5402033,Tea/Coffee Shop,0113 234 0383,http://www.facebook.com/vanillaoneleeds
Mrs Atha's,LS1 6DE,53.79648,-1.5410936,Tea/Coffee Shop,0113 245 5515,http://mrsathasleeds.com/
Le Chalet,LS1 5JD,53.79814,-1.5474823,Tea/Coffee Shop,0113 243 0576,http://www.le-chalet.co.uk
Just Grand! Vintage Tearoom,LS1 6PG,53.800252,-1.5403996,Tea/Coffee Shop,0113 2431306 ,http://www.just-grand.co.uk
Harvey Nichols - Restaurant,LS1 6AZ,53.797891,-1.541139,Tea/Coffee Shop,0113 204 8000,http://www.harveynichols.com/restaurant/leeds-dining/espresso-bar/
The Light,LS1 8TL,53.800047,-1.5456399,Tea/Coffee Shop,0113 2454242,http://www.labottegamilanese.co.uk
The Bowery,LS6 2AL,53.823359,-1.5794766,Tea/Coffee Shop,0113 2242284,http://thebowery.org/coffee_bar.html
The Queens Hotel,LS1 1PJ,53.795642,-1.5477369,Tea/Coffee Shop,0113 2431323,http://www.qhotels.co.uk/our-locations/the-queens/
The Decanter,LS1 5JQ,53.798757,-1.5466407,Winebar,,http://www.thedecanter.co.uk
The Foundry Wine Bar,LS11 5WH,53.791246,-1.552338,Winebar,0113 245 0390,http://www.thefoundrywinebar.co.uk
