Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Property start date,Rateable value,VOA code,VOA description,Liability start date,Occupied,Occupied description,Reaons Empty,Empty from,Mandatory Reliefs,Date From,DISC Reliefs,Date From,Retail Relief,Other Reliefs,Date From, Total Net Liability ,Local Reval Relief
21272,Clear Channel Uk Limited,"Advert Right No 002 Near, 369, Idle Road, Bradford, BD2 4JY",BD2 4JY,53.81648,-1.73321,1990-04-01,450,CA,ADVERTISING RIGHT AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,, ‹¨«220.95 ,
21277,Sue Ryder,"8, Cowpasture Road, Ilkley, LS29 8SR",LS29 8SR,53.92403,-1.82005,1990-04-01,13250,CS,SHOP AND PREMISES,1990-04-01,Y,Occupied,,,Mandatory Charity Relief,28/09/2012,,,Retail Discount,,, ‹¨«890.40 ,
21283,Tri-Imp Limited,"Unit 46, St James Wholesale Market, Essex Street, Bradford, BD4 7PG",BD4 7PG,53.78872,-1.73967,1992-04-01,2375,CW,WAREHOUSE AND PREMISES,2014-08-01,Y,Occupied,,,,,,,,,," ‹¨«1,166.13 ",
21285,,"109, Rook Lane, Bradford, BD4 9NA",BD4 9NA,53.77292,-1.72667,1990-04-01,2850,CS,SHOP AND PREMISES,2016-06-01,Y,Occupied,,,Small Business Rates Relief,01/06/2016,,,,,, ‹¨«-   ,
21293,,"4a, Central Place, Clayton, Bradford, BD14 6AZ",BD14 6AZ,53.78359,-1.81975,1990-04-01,3900,CS,SHOP AND PREMISES,2008-09-28,Y,Occupied,,,Small Business Rates Relief,28/09/2008,,,,,, ‹¨«-   ,
21301,Potting Shed Trading Limited,"Firepit, Market Street, Bingley, BD16 2HP",BD16 2HP,53.84887,-1.83939,1990-04-01,43500,CL1,WINE BAR AND PREMISES,2017-03-07,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«14,239.00 ",
21305,,"78, Oak Lane, Bradford, BD9 4RE",BD9 4RE,53.80849,-1.77681,1990-04-01,3300,CS,SHOP AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21307,,"Springfield Mills, Oakworth Road, Keighley, BD21 1QQ",BD21 1QQ,53.86415,-1.91505,1990-04-01,12000,CW3,STORE AND PREMISES,2019-03-01,Y,Occupied,,,,,,,,,," ‹¨«5,892.00 ",
21308,Chilton Catering Limited,"Restaurant & Premises, Wharf Street, Shipley, BD17 7DW",BD17 7DW,53.83548,-1.77672,1996-08-01,10750,CR,RESTAURANT AND PREMISES,2016-03-30,Y,Occupied,,,Small Business Rates Relief,30/03/2016,,,,,, ‹¨«-   ,
21321,,"55, Darley Street, Bradford, BD1 3HN",BD1 3HN,53.79614,-1.755,1990-04-01,11000,CS,SHOP AND PREMISES,2015-12-06,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,,,, ‹¨«-   ,
21326,Mars Pension Trustees Limited,"Car Park, Hanover Street, Keighley, BD21 3QJ",BD21 3QJ,53.86641,-1.90645,1990-04-01,25500,CP,,2013-01-11,Y,Occupied,,,,,,,,,," ‹¨«20,852.16 ",
21328,,"Garden Centre, Canal Road, Bradford, BD2 1AL",BD2 1AL,53.81162,-1.75945,1990-04-01,92000,CX,GARDEN CENTRE AND PREMISES,1996-04-01,Y,Occupied,,,,,,,,,," ‹¨«46,368.00 ",
21329,Dantex Graphics Limited,"Danon House, 5, Kings Road, Bradford, BD2 1DY",BD2 1DY,53.81164,-1.755,1990-04-01,96500,CWO,"WAREHOUSE, OFFICE AND PREMISES",1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«48,636.00 ",
21330,Town & Country Properties (Wharfedale) Limited,"First Floor, Unit 3, Back Nelson Road, Ilkley, LS29 8HN",LS29 8HN,53.92562,-1.81961,1990-04-01,2100,IF3,WORKSHOP AND PREMISES,2019-01-01,Y,Occupied,,,Small Business Rates Relief,01/01/2019,,,,,, ‹¨«-   ,
21333,,"17a, Leeds Road, Ilkley, LS29 8DP",LS29 8DP,53.9264,-1.82124,1990-04-01,5100,CS,SHOP AND PREMISES,2018-03-23,Y,Occupied,,,Small Business Rates Relief,23/03/2018,,,,,, ‹¨«-   ,
21341,Delifresh Limited,"Unit 65, St James Wholesale Market, Essex Street, Bradford, BD4 7PG",BD4 7PG,53.78872,-1.73967,1992-04-01,2650,CW,WAREHOUSE AND PREMISES,2008-05-16,Y,Occupied,,,,,,,,,," ‹¨«1,301.15 ",
21343,Primesight Limited,"Advertising Station 44, Opposite Bradford Arms Hotel, 104, Bowling Back Lane, Bradford, BD4 8SE",BD4 8SE,53.78679,-1.73451,1990-04-01,3500,CA,ADVERTISING RIGHT AND PREMISES,2009-09-01,Y,Occupied,,,,,,,,,," ‹¨«1,718.50 ",
21349,Primesight Limited,"Advert Right No 1331, Near G P O Sorting Office, Oakworth Road, Keighley, BD21 1RP",BD21 1RP,53.85859,-1.92596,1990-04-01,3000,CA,ADVERTISING RIGHT AND PREMISES,2009-09-01,Y,Occupied,,,,,,,,,," ‹¨«1,473.00 ",
21350,,"2, Commercial Street, Queensbury, BD13 2HP",BD13 2HP,53.76668,-1.85202,1990-04-01,3400,CS,SHOP AND PREMISES,1992-08-27,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21354,,"5, Gaythorne Road, Bradford, BD5 7ES",BD5 7ES,53.77962,-1.75406,1990-04-01,4200,CS,SHOP AND PREMISES,2014-03-15,Y,Occupied,,,Small Business Rates Relief,15/03/2014,,,,,, ‹¨«-   ,
21356,,"639, Little Horton Lane, Bradford, BD5 9BY",BD5 9BY,53.77725,-1.76802,1990-04-01,7300,CS7,,2015-07-27,Y,Occupied,,,Small Business Rates Relief,27/07/2015,,,,,, ‹¨«-   ,
21359,,"5-7, Whitley Street, Bingley, BD16 4JH",BD16 4JH,53.84983,-1.83497,1990-04-01,5100,CS,SHOP AND PREMISES,2018-08-14,Y,Occupied,,,Small Business Rates Relief,14/08/2018,,,,,, ‹¨«-   ,
21360,,"29-31, Ferncliffe Road, Bingley, BD16 4PR",BD16 4PR,53.84782,-1.82683,1990-04-01,7300,CS,SHOP AND PREMISES,2008-11-19,Y,Occupied,,,Small Business Rates Relief,19/11/2008,,,,,, ‹¨«-   ,
21366,Canal And River Trust,"Shipley Wharfe, Block A, Wharf Street, Shipley, BD17 7DW",BD17 7DW,53.83548,-1.77672,1996-08-01,28500,LX,HEALTH CLUB AND PREMISES,2018-12-01,,Empty,Exempt Listed Building,01/12/2018,,,,,,,, ‹¨«-   ,
21367,Altrigen Solutions Limited,"Commercial Mills, 1, Upper Ashley Lane, Shipley, BD17 7DA",BD17 7DA,53.83512,-1.77771,1990-04-01,12750,CO,OFFICES AND PREMISES,2006-01-28,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,," ‹¨«1,437.07 ",
21371,Cartmex Limited,"20, Hustlergate, Bradford, BD1 1LE",BD1 1LE,53.79414,-1.75261,1996-01-28,7100,CS4,KIOSK AND PREMISES,2019-04-19,,Empty,Exempt Listed Building,19/04/2019,,,,,,,, ‹¨«-   ,
21373,Bradford MDC,"Public Conveniences, The Oastler Shopping Centre, John Street, Bradford, BD1 3SR",BD1 3SR,53.7963,-1.75777,1992-04-01,8700,MX,PUBLIC CONVENIENCE,1992-04-01,Y,Occupied,,,,,,,,,," ‹¨«1,259.46 ",
21375,,"Unit 6, Mantra House, South Street, Keighley, BD21 1SX",BD21 1SX,53.86297,-1.91128,1990-04-01,1200,IF3,WORKSHOP AND PREMISES,2011-05-01,Y,Occupied,,,Small Business Rates Relief,01/05/2011,,,,,, ‹¨«-   ,
21383,Zenith International Freight Ltd,"Zenith House, Valley Court, Canal Road, Bradford, BD1 4SP",BD1 4SP,53.80525,-1.75214,1996-09-01,21000,CO,OFFICES AND PREMISES,2008-02-14,Y,Occupied,,,,,,,,,," ‹¨«10,311.00 ",
21386,International Scientific Supplies Limited,"Richmond House, Canal Road, Bradford, BD2 1AW",BD2 1AW,53.82201,-1.76949,1990-04-01,82000,CW,WAREHOUSE AND PREMISES,2012-04-01,Y,Occupied,,,,,,,,,," ‹¨«41,328.00 ",
21388,Ras Enterprise Ltd,"71, Kirkgate, Silsden, Keighley, BD20 0PB",BD20 0PB,53.91373,-1.93791,1990-04-01,7800,CS,SHOP AND PREMISES,2014-03-01,Y,Occupied,,,Small Business Rates Relief,01/03/2014,,,,,, ‹¨«-   ,
21389,Dignity Funerals Limited,"369, Idle Road, Bradford, BD2 2AH",BD2 2AH,53.81726,-1.73452,1990-04-01,10750,CS1,BANK AND PREMISES,2017-06-26,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«3,518.83 ",
21390,,"Ground Floor, Unit 3, Back Nelson Road, Ilkley, LS29 8HN",LS29 8HN,53.92562,-1.81961,1990-04-01,2750,IF3,WORKSHOP AND PREMISES,2019-01-04,Y,Occupied,,,Small Business Rates Relief,05/01/2019,,,,,, ‹¨«-   ,
21391,Le Bistrot Pierre Limited,"The Crescent Hotel, Brook Street, Ilkley, LS29 8DE",LS29 8DE,53.92571,-1.82295,1990-04-01,135000,CH,HOTEL AND PREMISES,2011-06-27,Y,Occupied,,,,,,,,,," ‹¨«68,040.00 ",
21392,Ilkley Dental Care Limited,"39, Leeds Road, Ilkley, LS29 8DP",LS29 8DP,53.9264,-1.82124,1990-04-01,7100,CS,SHOP AND PREMISES,2015-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2015,,,,,, ‹¨«-   ,
21393,,"30, Northgate, Baildon, BD17 6JX",BD17 6JX,53.85414,-1.76731,1990-04-01,6000,CS,SHOP AND PREMISES,2001-03-28,Y,Occupied,,,Small Business Rates Relief,24/12/2017,,,,,, ‹¨«-   ,
21404,,"27, Town Gate, Wyke, Bradford, BD12 9NT",BD12 9NT,53.74018,-1.7685,1990-04-01,5900,CS,SHOP AND PREMISES,2011-11-15,Y,Occupied,,,Small Business Rates Relief,15/11/2011,,,,,, ‹¨«-   ,
21408,,"Adj 20, Westbourne Terrace, Queensbury, BD13 1PQ",BD13 1PQ,53.77031,-1.84779,1990-04-01,9100,CG1,VEHICLE REPAIR WORKSHOP AND PREMISES,2008-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2008,,,,,, ‹¨«-   ,
21410,,"295, Legrams Lane, Bradford, BD7 2HH",BD7 2HH,53.78855,-1.78704,1990-04-01,3250,CS,SHOP AND PREMISES,2003-11-22,Y,Occupied,,,Small Business Rates Relief,01/04/2011,,,,,, ‹¨«-   ,
21411,,"23, Fair Road, Bradford, BD6 1TP",BD6 1TP,53.76648,-1.77656,1990-04-01,2475,CS,SHOP AND PREMISES,2006-12-15,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21412,,"1, Gaythorne Road, Bradford, BD5 7ES",BD5 7ES,53.77962,-1.75406,1990-04-01,5900,CS,SHOP AND PREMISES,2015-07-15,Y,Occupied,,,Small Business Rates Relief,15/07/2015,,,,,, ‹¨«-   ,
21416,Buttershaw W M Club,"Social Club, Buttershaw Lane, Bradford, BD6 2DA",BD6 2DA,53.76277,-1.78054,1990-04-01,9600,CL2,CLUB AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21417,Bp Oil Uk Limited,"Rankin Filling Station, Keighley Road, Bingley, BD16 2RD",BD16 2RD,53.85195,-1.84022,1990-04-01,124000,CG,,2016-04-25,Y,Occupied,,,,,,,,,," ‹¨«62,496.00 ",
21422,Unionmill Limited,"Unit 4b, First Floor, Parkway House, Worth Way, Keighley, BD21 5LD",BD21 5LD,53.86203,-1.91016,1990-04-01,5500,CO,OFFICES AND PREMISES,2012-04-01,,Empty,Empty Charge Retail,15/10/2018,,,,,,,," ‹¨«2,267.48 ",
21424,Shipley College,"College And Premises, Victoria Road, Shipley, BD18 3JS",BD18 3JS,53.83678,-1.78985,1993-04-01,24750,EL1,COLLEGE AND PREMISES,1993-04-01,Y,Occupied,,,Mandatory Charity Relief,01/04/1998,,,,,," ‹¨«2,494.80 ",
21429,Cartmex Limited,"22, Hustlergate, Bradford, BD1 1LE",BD1 1LE,53.79414,-1.75261,1997-01-28,5400,CS4,KIOSK AND PREMISES,2018-06-25,,Empty,Exempt Listed Building,25/06/2018,,,,,,,, ‹¨«-   ,
21431,Wholesale Sportswear Limited,"6-8, Bow Street, Keighley, BD21 3PE",BD21 3PE,53.86701,-1.90849,1990-04-01,64500,CS,SHOP AND PREMISES,2019-11-19,Y,Occupied,,,,,,,,,," ‹¨«11,901.84 ",
21432,,"Unit 138, The Oastler Shopping Centre, John Street, Bradford, BD1 3SR",BD1 3SR,53.7963,-1.75777,1992-04-01,1525,CS,MARKET STALL,2018-06-11,Y,Occupied,,,Small Business Rates Relief,11/06/2018,,,,,, ‹¨«-   ,
21433,,"First Floor, 4, Hey Street, Bradford, BD7 1DQ",BD7 1DQ,53.7939,-1.76541,1990-04-01,4850,IF3,WORKSHOP AND PREMISES,2017-07-17,Y,Occupied,,,Small Business Rates Relief,17/07/2017,,,,,, ‹¨«-   ,
21436,Mf Restaurants Ltd,"412, Great Horton Road, Bradford, BD7 3HS",BD7 3HS,53.78556,-1.77708,1990-04-01,15250,CW,,2017-01-20,Y,Occupied,,,,,,,,,," ‹¨«7,487.75 ",
21438,Hig Luxembourg Holdings 79 Sarl,"10-11, Darley Mall, Kirkgate Centre, Bradford, BD1 1QP",BD1 1QP,53.79512,-1.75477,1990-04-01,0,CS,,2015-11-28,,Empty,Exempt below RV,03/09/2018,,,,,,,, ‹¨«-   ,
21442,,"Mcdonalds, Forster Square Retail Park, Valley Road, Bradford, BD1 4AG",BD1 4AG,53.79812,-1.75286,1997-02-24,99500,CR,,2008-11-30,Y,Occupied,,,,,,,,,," ‹¨«50,148.00 ",
21444,Arnold Laver & Company Limited,"Warehouse, Canal Road, Bradford, BD2 1AR",BD2 1AR,53.81279,-1.75953,1990-04-01,352500,CW,WAREHOUSE AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«177,660.00 ",
21446,Kahn Landmark Limited,"4, Bolton Lane, Bradford, BD2 1DR",BD2 1DR,53.81078,-1.75541,1990-04-01,23500,CW,WAREHOUSE AND PREMISES,2006-09-30,Y,Occupied,,,,,,,,,," ‹¨«11,538.50 ",
21455,Almurad D.I.Y. (Bradford) Ltd,"Rvl Northern, Raglan Street, Bradford, BD3 8NL",BD3 8NL,53.79353,-1.71336,1997-04-01,18000,CW,WAREHOUSE AND PREMISES,2014-05-02,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«5,892.00 ",
21465,Oakworth Cricket Club,"Cricket Pavilion, Wide Lane, Oakworth, Keighley, BD22 0RJ",BD22 0RJ,53.8489,-1.96162,1990-04-01,4350,LS,SPORTS GROUND AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2010,,,,,, ‹¨«-   ,
21469,,"41, Beacon Road, Bradford, BD6 3ET",BD6 3ET,53.76845,-1.78808,1990-04-01,2700,CS,SHOP AND PREMISES,2019-07-14,Y,Occupied,,,Small Business Rates Relief,14/07/2019,,,,,, ‹¨«-   ,
21472,,"3, Central Avenue, Bradford, BD5 0PB",BD5 0PB,53.78016,-1.76702,1990-04-01,1675,CS,SHOP AND PREMISES,1993-12-08,,Empty,Exempt below RV,16/09/2001,,,,,,,, ‹¨«-   ,
21474,Wibsey Conservative Club,"9, North Road, Wibsey, Bradford, BD6 1TR",BD6 1TR,53.76616,-1.77714,1990-04-01,6700,CL2,CLUB AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21482,Salt Foundation,"Saltaire Institute, Victoria Road, Shipley, BD18 3JS",BD18 3JS,53.83678,-1.78985,1993-04-01,33250,LC,COMMUNITY CENTRE AND PREMISES,2003-05-27,Y,Occupied,,,Mandatory Charity Relief,27/05/2003,,,,,," ‹¨«3,351.60 ",
21486,Ladbrokes Betting & Gaming Limited,"4-8, Allerton Road, Bradford, BD8 0BJ",BD8 0BJ,53.79974,-1.79378,1990-04-01,4850,CS,SHOP AND PREMISES,2008-04-01,Y,Occupied,,,,,,,,,," ‹¨«2,381.35 ",
21487,Cordatus Property L.P.,"8, Great Russell Court, Bradford, BD7 1JZ",BD7 1JZ,53.79466,-1.77216,1997-02-01,11000,IF3,WORKSHOP AND PREMISES,2015-12-18,Y,Occupied,,,,,,,,,, ‹¨«-   ,
21493,,"17, Westgate, Bradford, BD1 2QL",BD1 2QL,53.79434,-1.75599,1990-04-01,23000,CS,SHOP AND PREMISES,2019-10-28,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«3,208.94 ",
21498,,"35, Ivegate, Bradford, BD1 1SQ",BD1 1SQ,53.79383,-1.75446,1990-04-01,14250,CS,,2016-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,Retail Discount,,," ‹¨«3,499.25 ",
21499,,"36, Cavendish Street, Keighley, BD21 3RG",BD21 3RG,53.86789,-1.90469,1990-04-01,7000,CS,SHOP AND PREMISES,1998-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21503,,"406-408, Otley Road, Bradford, BD2 4PQ",BD2 4PQ,53.80863,-1.73274,1990-04-01,7100,CS,SHOP AND PREMISES,2016-10-05,Y,Occupied,,,Small Business Rates Relief,05/10/2016,,,,,, ‹¨«-   ,
21505,,"Punch Bowl Inn, Bridge Road, Silsden, BD20 9ND",BD20 9ND,53.91517,-1.93798,1990-04-01,12500,CL,PUBLIC HOUSE AND PREMISES,2016-02-10,Y,Occupied,,,Small Business Rates Relief,01/04/2017,,,Retail Discount,,, ‹¨«681.95 ,
21510,Baildon Town Council,"Public Conveniences, Northgate, Baildon, BD17 6LR",BD17 6LR,53.85332,-1.7666,1990-04-01,2175,MX,PUBLIC CONVENIENCE,2019-03-27,Y,Occupied,,,,,,,,,, ‹¨«775.05 ,
21514,,"1228a, Leeds Road, Bradford, BD3 8LG",BD3 8LG,53.79389,-1.71619,1997-05-16,2800,CS,SHOP AND PREMISES,2000-07-10,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21515,Kashmiri Bazaar Limited,"458, Barkerend Road, Bradford, BD3 8QJ",BD3 8QJ,53.79829,-1.72228,1990-04-01,25500,CS,,2013-02-01,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«8,347.00 ",
21516,Ina-Imp Limited,"Unit 41, St James Wholesale Market, Essex Street, Bradford, BD4 7PG",BD4 7PG,53.78872,-1.73967,1992-04-01,2375,CW,WAREHOUSE AND PREMISES,1995-04-01,Y,Occupied,,,,,,,,,," ‹¨«1,166.13 ",
21518,,"Unit 5, Essex Park Industrial Estate, Essex Street, Bradford, BD4 7UA",BD4 7UA,53.78848,-1.74091,1990-04-01,5200,CW,WAREHOUSE AND PREMISES,2016-04-04,Y,Occupied,,,Small Business Rates Relief,20/05/2016,,,,,, ‹¨«-   ,
21519,Brava Building Services Limited,"34, Shirley Road, Bradford, BD4 9PX",BD4 9PX,53.76907,-1.71682,1990-04-01,9800,CWO,"WAREHOUSE, OFFICE AND PREMISES",2002-01-25,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21524,,"Wheatsheaf House, 23, High Street, Queensbury, Bradford, BD13 2PE",BD13 2PE,53.76808,-1.84588,1990-04-01,4500,CO,,2012-09-25,Y,Occupied,,,Small Business Rates Relief,01/02/2014,,,,,, ‹¨«-   ,
21526,Bradford Hebrew Congregation,"Jewish Cemetery, Birks Fold, Bradford, BD7 2QN",BD7 2QN,53.79181,-1.7947,1990-04-01,1125,MC,CEMETERY AND PREMISES,1990-04-01,Y,Occupied,,,Mandatory Charity Relief,01/04/1998,,,,,, ‹¨«113.40 ,
21527,The Governing Body,"Farfield Primary School, Reevy Crescent, Bradford, BD6 2BS",BD6 2BS,53.7621,-1.79689,1990-04-01,64500,EL,,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«32,508.00 ",
21528,Divine Gesture Limited,"Unit 6, Pitcliffe Way, Upper Castle Street, Bradford, BD5 7SG",BD5 7SG,53.78342,-1.75026,1990-04-01,37250,IF3,WORKSHOP AND PREMISES,2002-09-20,Y,Occupied,,,,,,,,,," ‹¨«18,289.75 ",
21531,,"3, Belmont Avenue, Bradford, BD12 0PD",BD12 0PD,53.76062,-1.75778,1990-04-01,9600,CS,SHOP AND PREMISES,2008-06-07,Y,Occupied,,,Small Business Rates Relief,07/06/2008,,,,,, ‹¨«-   ,
21534,Art Display Limited,"18-20, Clyde Street, Bingley, BD16 2NT",BD16 2NT,53.84916,-1.83274,1990-04-01,10000,CS7,SHOWROOM AND PREMISES,2016-12-01,Y,Occupied,,,Small Business Rates Relief,01/12/2016,,,,,, ‹¨«-   ,
21535,The New Coley Limited,"Heath Cottage, Trough Lane, Manywells Brow, Cullingworth, Bradford, BD13 5EA",BD13 5EA,53.81436,-1.90658,1995-04-01,4800,CX,NURSERY & PREMISES,1995-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2010,,,,,, ‹¨«-   ,
21538,Czajka Care Ltd,"66-70, Bingley Road, Shipley, BD18 4DJ",BD18 4DJ,53.8354,-1.79647,1990-04-01,15250,CO,OFFICES AND PREMISES,2001-11-16,Y,Occupied,,,,,,,,,," ‹¨«7,487.75 ",
21545,Garnett Controls Limited,"6, Great Russell Court, Bradford, BD7 1JZ",BD7 1JZ,53.79466,-1.77216,1997-02-01,13000,IF3,,2014-02-17,Y,Occupied,,,Small Business Rates Relief,07/06/2014,,,,,," ‹¨«2,127.67 ",
21558,Powerrun Holdings Limited,"Beech Mills, South Street, Keighley, BD21 1AQ",BD21 1AQ,53.8577,-1.91245,1990-04-01,36750,IF3,WORKSHOP AND PREMISES,2018-04-01,Y,Occupied,,,,,,,,,," ‹¨«18,044.25 ",
21560,,"Ivanhoe Works, 280, Canal Road, Bradford, BD2 1AR",BD2 1AR,53.81279,-1.75953,1990-04-01,9500,IF3,WORKSHOP AND PREMISES,2011-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2011,,,,,, ‹¨«-   ,
21562,Shaw Moisture Meters (Uk) Limited,"Lee Shaw Building, Bolton Lane, Bradford, BD2 1AE",BD2 1AE,53.80948,-1.75773,1990-04-01,20750,IF3,WORKSHOP AND PREMISES,2009-03-16,Y,Occupied,,,,,,,,,," ‹¨«10,188.25 ",
21563,,"14, Briggate, Silsden, BD20 9JT",BD20 9JT,53.91496,-1.9385,1990-04-01,4150,CS,SHOP AND PREMISES,2013-05-07,Y,Occupied,,,Small Business Rates Relief,07/05/2013,,,,,, ‹¨«-   ,
21570,Bradford MDC,"Car Park, Station Road, Esholt, Shipley, BD17 7QR",BD17 7QR,53.8612,-1.73002,1990-04-01,2250,CP,CAR PARK AND PREMISES,1990-04-01,Y,Occupied,,,,,,,,,," ‹¨«1,104.75 ",
21571,,"R/O, 1228a, Leeds Road, Bradford, BD3 8LG",BD3 8LG,53.79389,-1.71619,1997-05-16,1875,CO,OFFICES AND PREMISES,2012-04-01,,Empty,Exempt below RV,01/04/2017,,,,,,,, ‹¨«-   ,
21575,Done Brothers (Cash Betting) Limited T/A Betfred Limited,"126, Tong Street, Bradford, BD4 6HD",BD4 6HD,53.77115,-1.72146,1993-09-27,13750,CS2,,2013-01-14,Y,Occupied,,,,,,,,,," ‹¨«6,751.25 ",
21577,,"75, Landscove Avenue, Bradford, BD4 0NQ",BD4 0NQ,53.77285,-1.70112,1990-04-01,4400,CS,SHOP AND PREMISES,2019-09-17,Y,Occupied,,,Small Business Rates Relief,17/09/2019,,,,,, ‹¨«-   ,
21578,,"252, Huddersfield Road, Low Moor, Bradford, BD12 0TJ",BD12 0TJ,53.75457,-1.76831,1990-04-01,5100,CS,SHOP AND PREMISES,2017-07-17,Y,Occupied,,,Small Business Rates Relief,17/07/2017,,,,,, ‹¨«-   ,
21581,,"Turkey Inn, 20, Goose Eye, Oakworth, Keighley, BD22 0PD",BD22 0PD,53.86173,-1.9578,1990-04-01,28750,CL,PUBLIC HOUSE AND PREMISES,2011-11-17,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«5,635.66 ",Yes
21584,,"54, Harlow Road, Bradford, BD7 2HU",BD7 2HU,53.78627,-1.78629,1990-04-01,2750,CS,SHOP AND PREMISES,2010-02-08,,Empty,Exempt below RV,23/11/2017,,,,,,,, ‹¨«-   ,
21587,,"732, Manchester Road, Bradford, BD5 7QS",BD5 7QS,53.77677,-1.76063,1990-04-01,3200,CS,SHOP AND PREMISES,2012-08-10,,Empty,Empty Charge Retail,01/04/2017,,,,,,,," ‹¨«1,612.80 ",
21592,Harden Holmes Developments Limited,"Bingley Tavern, 57, Main Street, Bingley, BD16 2HZ",BD16 2HZ,53.8496,-1.83899,1990-04-01,11500,CL,PUBLIC HOUSE AND PREMISES,2019-05-23,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«3,975.13 ",
21600,,"105, Dockfield Road, Shipley, BD17 7AR",BD17 7AR,53.83859,-1.76583,1990-04-01,4400,IF3,WORKSHOP AND PREMISES,1990-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21610,3 Cube Real Estate Limited,"No 3, Equity House, 40, Piccadilly, Bradford, BD1 3NN",BD1 3NN,53.7964,-1.75425,1990-04-01,720,CP1,CAR PARKING SPACE AND PREMISES,2007-04-01,,Empty,Exempt below RV,01/04/2007,,,,,,,, ‹¨«-   ,
21614,Ivegate Yorkshire Limited,"26, Ivegate, Bradford, BD1 1SW",BD1 1SW,53.79404,-1.75429,1990-04-01,22250,CS,,2019-03-01,,Empty,Empty Charge Retail,01/03/2019,,,,,,,," ‹¨«11,214.00 ",
21624,Flying Duck Enterprises Limited,"The Flying Duck, 16, Church Street, Ilkley, LS29 9DS",LS29 9DS,53.92641,-1.82508,1990-04-01,39500,CL,PUBLIC HOUSE AND PREMISES,2013-11-16,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«7,481.31 ",
21632,,"295, Leeds Road, Bradford, BD3 9JY",BD3 9JY,53.79265,-1.73638,1990-04-01,6200,CS,SHOP AND PREMISES,1999-04-01,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21634,Maja Sklep Ltd,"124, Tong Street, Bradford, BD4 6HD",BD4 6HD,53.77115,-1.72146,1993-09-20,6400,CS,SHOP AND PREMISES,2015-01-07,Y,Occupied,,,Small Business Rates Relief,07/01/2015,,,,,, ‹¨«-   ,
21642,,"161a, Brownroyd Hill Road, Bradford, BD6 1RU",BD6 1RU,53.76999,-1.77833,1990-04-01,3150,CS,SHOP AND PREMISES,2018-02-01,Y,Occupied,,,Small Business Rates Relief,01/02/2018,,,,,, ‹¨«-   ,
21651,,"63,, Prune Park Lane, Bradford, BD15 9JA",BD15 9JA,53.80702,-1.83484,1990-04-01,18500,CS,,1990-04-01,Y,Occupied,,,,,,,Retail Discount,,," ‹¨«6,055.67 ",
21652,,"Unit 3, Parkway House, Worth Way, Keighley, BD21 5LD",BD21 5LD,53.86203,-1.91016,1990-04-01,4950,CS,SHOP AND PREMISES,1995-08-21,Y,Occupied,,,Small Business Rates Relief,01/04/2007,,,,,, ‹¨«-   ,
21653,,"30, Cottingley Road, Bradford, BD15 9JU",BD15 9JU,53.81695,-1.83194,1990-04-01,3550,CS,SHOP AND PREMISES,1997-03-01,Y,Occupied,,,,,,,,,, ‹¨«-   ,
21657,,"113, Briggate, Shipley, BD18 2BT",BD18 2BT,53.82994,-1.77327,1990-04-01,9200,IF3,WORKSHOP AND PREMISES,2018-03-30,Y,Occupied,,,Small Business Rates Relief,30/03/2018,,,,,, ‹¨«-   ,
